,sku_code,jan_23,feb_23,mar_23,apr_23,may_23,jun_23
0,shirt,190.0,140.42499999999998,126.61431105990783,124.3945392468253,142.91019938136247,69.2203684751173
1,jeans,172.0,114.00615803814713,234.1865301121309,149.3142289425149,193.35013641720465,119.79307541617717
2,bath towel,190.0,140.425,126.61431105990778,123.48391772733898,154.89555448340312,78.83648472918745
3,bed sheet,172.0,116.72441416893733,194.9414411888272,193.20455878580498,196.06004488179528,179.3516621762084
4,pillow,190.0,197.54666666666665,182.60651594202895,140.9819049335949,140.97076399920016,103.11405856607487
