,sku_code,jan_23,feb_23,mar_23,apr_23,may_23,jun_23
0,shirt,213.030303030303,146.87878787878788,134.54545454545453,149.1212121212121,213.030303030303,123.33333333333331
1,jeans,128.5,97.86918604651163,164.36046511627907,99.36337209302326,132.9825581395349,82.18023255813954
2,bath towel,200.02197802197801,137.9098901098901,126.32967032967034,143.17362637362638,200.02197802197801,121.06593406593407
3,bed sheet,154.0633147113594,117.3389199255121,197.05772811918064,119.13035381750466,149.58472998137802,137.94040968342645
4,pillow,196.4887940234792,142.71291355389542,227.51334044823906,175.80576307363927,155.12273212379938,113.75667022411953
