,sku_code,jan_23,feb_23,mar_23,apr_23,may_23,jun_23
0,shirt,234.03999999999996,234.03999999999996,234.03999999999996,234.03999999999996,234.03999999999996,234.03999999999996
1,jeans,215.07199999999997,215.07199999999997,215.07199999999997,215.07199999999997,215.07199999999997,215.07199999999997
2,bath towel,258.592,258.592,258.592,258.592,258.592,258.592
3,bed sheet,252.21399999999994,252.21399999999994,252.21399999999994,252.21399999999994,252.21399999999994,252.21399999999994
4,pillow,260.009,260.009,260.009,260.009,260.009,260.009
